domain,count
"130.100.168.192.in-addr.arpa",2
"130.21.168.192.in-addr.arpa",22
"130.22.168.192.in-addr.arpa",16
"130.229.168.192.in-addr.arpa",58
"130.23.168.192.in-addr.arpa",14
"130.24.168.192.in-addr.arpa",8
"130.25.168.192.in-addr.arpa",6
"130.26.168.192.in-addr.arpa",6
"130.27.168.192.in-addr.arpa",10
"130.28.168.192.in-addr.arpa",16
"131.202.168.192.in-addr.arpa",22
"131.21.168.192.in-addr.arpa",20
"131.22.168.192.in-addr.arpa",18
"131.229.168.192.in-addr.arpa",58
"131.23.168.192.in-addr.arpa",14
"131.24.168.192.in-addr.arpa",8
"131.25.168.192.in-addr.arpa",6
"131.26.168.192.in-addr.arpa",10
"131.27.168.192.in-addr.arpa",10
"131.28.168.192.in-addr.arpa",14
"132.21.168.192.in-addr.arpa",20
"132.22.168.192.in-addr.arpa",16
"132.229.168.192.in-addr.arpa",58
"132.23.168.192.in-addr.arpa",16
"132.24.168.192.in-addr.arpa",8
"132.25.168.192.in-addr.arpa",6
"132.26.168.192.in-addr.arpa",6
"132.27.168.192.in-addr.arpa",12
"132.28.168.192.in-addr.arpa",14
"133.202.168.192.in-addr.arpa",2
"133.21.168.192.in-addr.arpa",22
"133.22.168.192.in-addr.arpa",16
"133.229.168.192.in-addr.arpa",58
"133.23.168.192.in-addr.arpa",14
"133.24.168.192.in-addr.arpa",10
"133.25.168.192.in-addr.arpa",6
"133.26.168.192.in-addr.arpa",6
"133.27.168.192.in-addr.arpa",10
"133.28.168.192.in-addr.arpa",16
"134.21.168.192.in-addr.arpa",20
"134.22.168.192.in-addr.arpa",18
"134.229.168.192.in-addr.arpa",58
"134.23.168.192.in-addr.arpa",14
"134.24.168.192.in-addr.arpa",8
"134.25.168.192.in-addr.arpa",6
"134.26.168.192.in-addr.arpa",6
"134.27.168.192.in-addr.arpa",10
"134.28.168.192.in-addr.arpa",14
"135.202.168.192.in-addr.arpa",6
"135.21.168.192.in-addr.arpa",20
"135.22.168.192.in-addr.arpa",16
"135.229.168.192.in-addr.arpa",58
"135.23.168.192.in-addr.arpa",16
"135.24.168.192.in-addr.arpa",8
"135.25.168.192.in-addr.arpa",6
"135.26.168.192.in-addr.arpa",6
"135.27.168.192.in-addr.arpa",10
"135.28.168.192.in-addr.arpa",14
"136.202.168.192.in-addr.arpa",6
"136.21.168.192.in-addr.arpa",22
"136.22.168.192.in-addr.arpa",16
"136.229.168.192.in-addr.arpa",58
"136.23.168.192.in-addr.arpa",14
"136.24.168.192.in-addr.arpa",10
"136.25.168.192.in-addr.arpa",6
"136.26.168.192.in-addr.arpa",6
"136.27.168.192.in-addr.arpa",10
"136.28.168.192.in-addr.arpa",16
"137.202.168.192.in-addr.arpa",24
"137.21.168.192.in-addr.arpa",20
"137.22.168.192.in-addr.arpa",18
"137.229.168.192.in-addr.arpa",58
"137.23.168.192.in-addr.arpa",14
"137.24.168.192.in-addr.arpa",8
"137.25.168.192.in-addr.arpa",8
"137.26.168.192.in-addr.arpa",6
"137.27.168.192.in-addr.arpa",10
"137.28.168.192.in-addr.arpa",14
"138.202.168.192.in-addr.arpa",4
"138.21.168.192.in-addr.arpa",20
"138.22.168.192.in-addr.arpa",16
"138.229.168.192.in-addr.arpa",58
"138.23.168.192.in-addr.arpa",16
"138.24.168.192.in-addr.arpa",8
"138.25.168.192.in-addr.arpa",6
"138.26.168.192.in-addr.arpa",8
